"","Gene_ID_IMG","Start.Coord","End.Coord","Strand","GC","Nuc","AA","Description","Gi","GeneID","Locus"
"Tery_1120","638106343","1762285","1763076","-","0.39","792","264","RNA-directed DNA polymerase","113474894","4242852","-"
"Tery_1121","638106344","1763965","1764252","+","0.39","288","96","ATP-dependent Clp protease adaptor protein ClpS","113474895","4242853","clpS"
"Tery_1122","638106345","1764326","1765177","+","0.32","852","284","Abortive infection protein","113474896","4242854","-"
"Tery_1123","638106346","1766406","1766873","-","0.37","468","156","hypothetical protein","113474897","4242855","-"
"Tery_1124","638106347","1768286","1768873","-","0.32","588","196","NUDIX hydrolase( EC:3.6.1.13 )","113474898","4242856","-"
"Tery_1125","638106348","1771236","1772108","+","0.34","873","291","Uncharacterized protein with protein kinase and helix-hairpin-helix DNA-binding domains-like","113474899","4242857","-"
"Tery_1126","638106349","1772579","1773457","-","0.34","879","293","binding-protein-dependent transport systems inner membrane component","113474900","4242858","-"
"Tery_1127","638106350","1774989","1775900","-","0.3","912","304","Prolyl 4-hydroxylase, alpha subunit","113474901","4242859","-"
"Tery_1128","638106351","1782421","1783974","-","0.35","1554","518","phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase( EC:3.5.4.10,EC:2.1.2.3 )","113474902","4242860","purH"
"Tery_1129","638106352","1784286","1785884","-","0.29","1599","533","hypothetical protein","113474903","4242861","-"
"Tery_1130","638106353","1785909","1786274","-","0.3","366","122","hypothetical protein","113474904","4242862","-"
"Tery_1131","638106354","1786261","1786851","-","0.34","591","197","hypothetical protein","113474905","4242863","-"
"Tery_1132","638106355","1786867","1788537","-","0.29","1671","557","hypothetical protein","113474906","4244402","-"
"Tery_1134","638106357","1789540","1789920","-","0.33","381","127","conserved hypothetical protein","113474908","4244404","-"
"Tery_1135","638106358","1790156","1791298","-","0.37","1143","381","glycosyl transferase, group 1","113474909","4244405","-"
"Tery_1136","638106359","1792376","1792858","-","0.39","483","161","cytochrome b/b6-like","113474910","4244406","-"
"Tery_1137","638106360","1792916","1793584","-","0.41","669","223","cytochrome b/b6-like","113474911","4244407","-"
"Tery_1138","638106361","1793933","1795171","+","0.4","1239","413","carboxyl-terminal protease( EC:3.4.21.102 )","113474912","4244408","-"
"Tery_1139","638106362","1796113","1796532","-","0.35","420","140","conserved hypothetical protein","113474913","4244409","-"
"Tery_1140","638106363","1797129","1797368","+","0.4","240","80","hypothetical protein","113474914","4244410","-"
"Tery_1141","638106364","1798046","1798495","-","0.38","450","150","Nucleoside-diphosphate kinase( EC:2.7.4.6 )","113474915","4244411","-"
"Tery_1142","638106365","1798654","1800735","+","0.31","2082","694","arginine decarboxylase( EC:4.1.1.19 )","113474916","4244412","-"
"Tery_1143","638106366","1801211","1802377","-","0.4","1167","389","Nucleotidyl transferase( EC:2.7.7.13 )","113474917","4244413","-"
"Tery_1144","638106367","1802899","1803066","+","0.29","168","56","transposase, IS891/IS1136/IS1341","113474918","4244414","-"
"Tery_1145","638106368","1804103","1804957","-","0.35","855","285","chromosome segregation and condensation protein ScpA","113474919","4244415","-"
"Tery_1146","638106369","1805346","1805720","-","0.33","375","125","conserved hypothetical protein","113474920","4244416","-"
"Tery_1147","638106370","1805868","1806614","-","0.29","747","249","lipoprotein  putative","113474921","4244417","-"
"Tery_1148","638106371","1806617","1806856","-","0.3","240","80","hypothetical protein","113474922","4244418","-"
"Tery_1149","638106372","1807420","1807779","-","0.4","360","120","single-strand binding protein","113474923","4244419","-"
"Tery_1150","638106373","1808387","1809424","+","0.42","1038","346","cell shape determining protein, MreB/Mrl family","113474924","4244420","-"
"Tery_1151","638106374","1810140","1810895","+","0.34","756","252","rod shape-determining protein MreC","113474925","4244421","-"
"Tery_1152","638106375","1811022","1811618","+","0.32","597","199","conserved hypothetical protein","113474926","4245735","-"
"Tery_1153","638106376","1811884","1812762","+","0.38","879","293","acetylglutamate kinase( EC:2.7.2.8 )","113474927","4245736","-"
"Tery_1154","638106377","1812931","1813464","-","0.34","534","178","conserved hypothetical protein","113474928","4245737","-"
"Tery_1155","638106378","1813694","1814017","-","0.35","324","108","conserved hypothetical protein","113474929","4245738","-"
"Tery_1156","639331425","1814195","1814542","+","0.28","348","116","-","-","-","-"
"Tery_1157","638106379","1814647","1814958","-","0.32","312","104","hypothetical protein","113474930","4245740","-"
"Tery_1158","638106380","1815804","1818287","-","0.34","2484","828","ATP-dependent DNA helicase RecG( EC:3.6.1.- )","113474931","4245741","-"
"Tery_1159","638106381","1819038","1820042","-","0.32","1005","335","conserved hypothetical protein","113474932","4245742","-"
"Tery_1160","638106382","1820154","1820813","-","0.37","660","220","translation elongation factor Ts","113474933","4245743","-"
"Tery_1161","638106383","1820973","1821791","-","0.38","819","273","ribosomal protein S2","113474934","4245744","rpsB"
"Tery_1162","638106384","1822341","1822685","-","0.26","345","115","hypothetical protein","113474935","4245745","-"
"Tery_1163","638106385","1823465","1824130","-","0.36","666","222","conserved hypothetical protein","113474936","4245746","-"
"Tery_1165","638106387","1824692","1825762","-","0.41","1071","357","protein of unknown function DUF59","113474938","4245748","-"
"Tery_1166","638106388","1826159","1827190","+","0.4","1032","344","Coproporphyrinogen oxidase( EC:1.3.3.3 )","113474939","4245749","-"
"Tery_1167","638106389","1827259","1827642","+","0.41","384","128","anti-sigma-factor antagonist","113474940","4245750","-"
"Tery_1168","638106390","1828262","1828981","+","0.34","720","240","Thf1-like protein","113474941","4245751","-"
"Tery_1169","638106391","1829938","1830477","-","0.37","540","180","conserved hypothetical protein","113474942","4245752","-"
"Tery_1170","638106392","1830936","1831820","-","0.39","885","295","peptidase M23B( EC:3.4.24.75 )","113474943","4245753","-"
"Tery_1171","639331426","1832829","1833077","+","0.41","249","83","-","-","-","-"
"Tery_1172","638106393","1833562","1833774","-","0.32","213","71","conserved hypothetical protein","113474944","4244056","-"
"Tery_1173","638106394","1833837","1834673","+","0.38","837","279","Diaminopimelate epimerase( EC:5.1.1.7 )","113474945","4244057","dapF"
"Tery_1174","639331427","1834958","1835260","+","0.36","303","101","-","-","-","-"
"Tery_1175","638106395","1837408","1838166","+","0.39","759","253","uroporphyrin-III C-methyltransferase( EC:2.1.1.107,EC:1.3.1.76,EC:4.99.1.4,EC:2.1.1.107 )","113474946","4244059","-"
"Tery_1176","638106396","1838475","1839092","+","0.33","618","206","molybdopterin-guanine dinucleotide biosynthesis protein A","113474947","4244060","-"
"Tery_1177","638106397","1840227","1840373","-","0.35","147","49","transposase","113474948","4244061","-"
"Tery_1178","639331428","1842876","1843199","-","0.27","324","108","-","-","-","-"
"Tery_1179","638106398","1844523","1847486","+","0.4","2964","988","Peptidase M16C associated","113474949","4244063","-"
"Tery_1180","638106399","1849484","1850875","-","0.34","1392","464","lipoprotein  putative","113474950","4244064","-"
"Tery_1181","638106400","1851088","1852776","-","0.36","1689","563","hypothetical protein","113474951","4244065","-"
"Tery_1182","638106401","1852807","1853136","-","0.39","330","110","hypothetical protein","113474952","4244066","-"
"Tery_1183","638106402","1853302","1854318","-","0.43","1017","339","hypothetical protein","113474953","4244067","-"
"Tery_1184","638106403","1854403","1855686","-","0.32","1284","428","lipoprotein  putative","113474954","4244068","-"
"Tery_1185","638106404","1855867","1857660","-","0.33","1794","598","lipoprotein  putative","113474955","4244069","-"
"Tery_1186","638106405","1857687","1858649","-","0.37","963","321","lipoprotein  putative","113474956","4244070","-"
"Tery_1187","638106406","1858962","1860110","-","0.41","1149","383","conserved hypothetical protein","113474957","4244071","-"
"Tery_1188","638106407","1860117","1862237","-","0.44","2121","707","conserved hypothetical protein","113474958","4244072","-"
"Tery_1189","638106408","1862476","1863948","-","0.44","1473","491","conserved hypothetical protein","113474959","4244073","-"
"Tery_1191","638106410","1864279","1864839","-","0.32","561","187","hypothetical protein","113474961","4242534","-"
"Tery_1193","638106411","1866982","1867335","-","0.34","354","118","hypothetical protein","113474962","4242536","-"
"Tery_1194","638106412","1867440","1868705","-","0.37","1266","422","putative oxygen-independent coproporphyrinogen III oxidase( EC:1.3.99.22 )","113474963","4242537","-"
"Tery_1195","638106413","1869679","1870758","+","0.37","1080","360","PilT protein-like","113474964","4242538","-"
"Tery_1196","638106414","1871194","1871847","+","0.35","654","218","COG3222: Uncharacterized protein conserved in bacteria","113474965","4242539","-"
"Tery_1197","638106415","1872823","1873305","+","0.27","483","161","conserved hypothetical protein","113474966","4242540","-"
"Tery_1201","638106419","1875929","1876612","+","0.34","684","228","glycosyl transferase, family 2","113474970","4242544","-"
"Tery_1204","638106421","1878803","1879288","+","0.42","486","162","photosystem I reaction centre, subunit XI PsaL","113474972","4242547","-"
"Tery_1205","638106422","1879465","1879581","+","0.35","117","39","photosystem I reaction centre, subunit VIII","113474973","4242548","psaI"
"Tery_1206","638106423","1880411","1881139","+","0.4","729","243","2-phosphosulfolactate phosphatase( EC:3.1.3.71 )","113474974","4242549","-"
"Tery_1207","638106424","1881454","1881882","-","0.32","429","143","hypothetical protein","113474975","4242550","-"
"Tery_1208","638106425","1881938","1882150","-","0.3","213","71","conserved hypothetical protein","113474976","4242551","-"
"Tery_1209","638106426","1883036","1883473","+","0.29","438","146","histidine kinase","113474977","4242552","-"
"Tery_1210","638106427","1884106","1884465","-","0.28","360","120","putative transposase","113474978","4241783","-"
"Tery_1211","639331431","1884502","1885016","-","0.3","515","171.6666667","-","-","-","-"
"Tery_1212","638106428","1885361","1885747","+","0.41","387","129","response regulator receiver protein","113474979","4241785","-"
"Tery_1213","638106429","1885873","1886535","+","0.37","663","221","hypothetical protein","113474980","4241786","-"
"Tery_1214","638106430","1886638","1888128","-","0.33","1491","497","RNA polymerase, sigma 28 subunit","113474981","4241787","-"
"Tery_1215","638106431","1889069","1889311","+","0.4","243","81","transposase","113474982","4241788","-"
"Tery_1217","639331432","1892505","1892996","+","0.34","492","164","-","-","-","-"
"Tery_1218","638106433","1893487","1893612","-","0.3","126","42","putative transposase gene of IS630 family insertion sequence ISY100h","113474984","4241791","-"
"Tery_1219","638106434","1893730","1893888","-","0.34","159","53","putative transposase gene of IS630 family insertion sequence ISY100h","113474985","4241792","-"
"Tery_1220","639331433","1893909","1894334","-","0.3","426","142","-","-","-","-"
"Tery_1225","639331435","1899284","1899802","+","0.3","519","173","-","-","-","-"
"Tery_1226","638106438","1899852","1900091","+","0.32","240","80","hypothetical protein","113474989","4241799","-"
"Tery_1227","638106440","1900636","1901181","-","0.38","546","182","protein of unknown function DUF901","113474990","4241801","-"
"Tery_1228","638106441","1901362","1902057","-","0.36","696","232","ABC transporter related","113474991","4242155","-"
"Tery_1229","638106442","1902054","1902320","-","0.39","267","89","UPF0367 protein Tery_1229.","113474992","4242156","-"
"Tery_1230","638106443","1904238","1905296","+","0.43","1059","353","photosystem II D2 protein (photosystem q(a) protein)","113474993","4242157","-"
"Tery_1231","639331436","1905906","1906127","-","0.38","222","74","-","-","-","-"
"Tery_1232","638106444","1907660","1907941","+","0.32","282","94","transcriptional coactivator/pterin dehydratase( EC:4.2.1.96 )","113474994","4242159","phhB"
"Tery_1233","638106445","1908790","1910424","+","0.35","1635","545","metal dependent phosphohydrolase","113474995","4242160","-"
"Tery_1234","638106446","1911568","1913487","+","0.38","1920","640","Carbohydrate-selective porin OprB","113474996","4242161","-"
"Tery_1235","638106447","1914921","1915883","+","0.41","963","321","cysteine synthase A( EC:2.5.1.47 )","113474997","4242162","-"
"Tery_1236","638106448","1916945","1917445","-","0.36","501","167","hypothetical protein","113474998","4242163","-"
"Tery_1237","638106449","1917668","1919488","-","0.37","1821","607","putative chaperone protein","113474999","4242164","-"
"Tery_1238","638106450","1919537","1919836","-","0.4","300","100","heat shock 70kD protein 12B","113475000","4242165","-"
"Tery_1239","638106451","1919854","1921656","-","0.32","1803","601","WD-40 repeat-protein","113475001","4242166","-"
"Tery_1240","638106452","1922203","1922877","+","0.3","675","225","heat shock protein DnaJ-like","113475002","4242167","-"
"Tery_1244","638106454","1926211","1927449","-","0.35","1239","413","von Willebrand factor, type A","113475004","4242171","-"
"Tery_1245","639331439","1927741","1927959","+","0.28","219","73","-","-","-","-"
"Tery_1246","638106455","1930019","1930708","+","0.35","690","230","Endopeptidase Clp( EC:3.4.21.92 )","113475005","4242173","-"
"Tery_1247","638106456","1930923","1931513","+","0.37","591","197","Endopeptidase Clp( EC:3.4.21.92 )","113475006","4241725","clpP"
"Tery_1248","639331440","1931878","1932315","-","0.26","438","146","-","-","-","-"
"Tery_1249","639331441","1933242","1933526","+","0.21","285","95","-","-","-","-"
"Tery_1250","638106457","1934396","1935022","+","0.34","627","209","heat shock protein DnaJ-like","113475007","4241728","-"
"Tery_1251","638106458","1935767","1937014","+","0.3","1248","416","methyltransferase FkbM family","113475008","4241729","-"
"Tery_1252","638106459","1938100","1939044","+","0.29","945","315","Na+/Ca+ antiporter, CaCA family","113475009","4241730","-"
"Tery_1253","639331442","1939776","1940183","-","0.38","408","136","-","-","-","-"
"Tery_1254","639331443","1940441","1940746","+","0.27","306","102","-","-","-","-"
"Tery_1256","638106461","1942378","1942674","-","0.31","297","99","transposase","113475011","4241734","-"
"Tery_1257","639331444","1943192","1943521","+","0.29","330","110","-","-","-","-"
"Tery_1259","638106463","1944894","1945985","-","0.36","1092","364","GTP-binding protein YchF","113475013","4241737","-"
"Tery_1260","639331445","1947875","1948057","+","0.38","183","61","-","-","-","-"
"Tery_1261","639331446","1948200","1948550","+","0.26","351","117","-","-","-","-"
"Tery_1262","639331447","1948649","1949146","+","0.32","498","166","-","-","-","-"
"Tery_1263","638106464","1949797","1950114","-","0.31","318","106","hypothetical protein","113475014","4241741","-"
"Tery_1264","638106465","1950101","1950238","-","0.3","138","46","hypothetical protein","113475015","4241742","-"
"Tery_1265","638106466","1950795","1951283","-","0.32","489","163","conserved hypothetical protein","113475016","4241743","-"
"Tery_1268","639331448","1952942","1953768","-","0.28","827","275.6666667","-","-","-","-"
"Tery_1269","639331449","1953884","1954087","-","0.24","204","68","-","-","-","-"
"Tery_1270","639331450","1954374","1954601","-","0.32","228","76","-","-","-","-"
"Tery_1271","638106469","1954986","1955288","+","0.37","303","101","putative transposase, orfA","113475019","4245778","-"
"Tery_1272","638106470","1955383","1955784","+","0.33","402","134","putative transposase, orfB","113475020","4245779","-"
"Tery_1274","638106471","1956658","1956891","+","0.3","234","78","hypothetical protein","113475021","4245781","-"
"Tery_1275","638106472","1957008","1957391","+","0.34","384","128","transposase","113475022","4245782","-"
"Tery_1276","638106473","1958159","1959787","+","0.35","1629","543","Orn/Lys/Arg decarboxylase, major region( EC:4.1.1.18,EC:4.1.1.19 )","113475023","4245783","-"
"Tery_1277","639331452","1960340","1960720","-","0.25","381","127","-","-","-","-"
"Tery_1278","638106474","1960720","1960962","-","0.29","243","81","conserved hypothetical protein","113475024","4245785","-"
"Tery_1281","639331453","1963177","1963474","+","0.35","298","99.33333333","-","-","-","-"
"Tery_1282","638106477","1963528","1963887","+","0.33","360","120","putative transposase","113475027","4245789","-"
"Tery_1283","638106478","1963943","1964374","+","0.31","432","144","hypothetical protein","113475028","4245790","-"
"Tery_1284","639331454","1964986","1965361","+","0.21","376","125.3333333","-","-","-","-"
"Tery_1285","639331455","1966228","1966581","+","0.45","354","118","-","-","-","-"
"Tery_1286","638106479","1966691","1966912","+","0.44","222","74","transposase","113475029","4242036","-"
"Tery_1287","638106480","1966978","1967166","+","0.42","189","63","transposase","113475030","4242037","-"
"Tery_1288","638106481","1968385","1968987","+","0.39","603","201","precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit( EC:1.-,EC:2.1.1.132,EC:1.- )","113475031","4242038","-"
"Tery_1289","638106482","1969872","1970255","-","0.33","384","128","transposase","113475032","4242039","-"
"Tery_1290","638106483","1970256","1970465","-","0.31","210","70","hypothetical protein","113475033","4242040","-"
"Tery_1291","638106484","1971541","1972422","+","0.39","882","294","phosphatidate cytidylyltransferase( EC:2.7.7.41 )","113475034","4242041","-"
"Tery_1292","638106485","1972786","1973562","-","0.31","777","259","conserved hypothetical protein","113475035","4242042","-"
"Tery_1293","638106486","1973698","1974462","+","0.38","765","255","Pseudouridine synthase, Rsu( EC:5.4.99.12 )","113475036","4242043","-"
"Tery_1294","638106487","1975139","1976026","+","0.33","888","296","COG1426: Uncharacterized protein conserved in bacteria","113475037","4242044","-"
"Tery_1295","639331456","1976210","1976708","-","0.38","499","166.3333333","-","-","-","-"
"Tery_1296","638106488","1977141","1978658","-","0.37","1518","506","4-alpha-glucanotransferase( EC:2.4.1.25 )","113475038","4242046","-"
"Tery_1297","638106489","1982085","1982285","-","0.26","201","67","hypothetical protein","113475039","4242047","-"
"Tery_1299","638106490","1983497","1983685","+","0.32","189","63","conserved hypothetical protein","113475040","4242049","-"
"Tery_1300","639331458","1983824","1984879","+","0.25","1056","352","-","-","-","-"
"Tery_1301","638106491","1985587","1986489","-","0.3","903","301","protein of unknown function UPF0187","113475041","4242051","-"
"Tery_1302","638106492","1987176","1987925","-","0.29","750","250","hypothetical protein","113475042","4242052","-"
"Tery_1303","639331459","1988229","1988867","-","0.37","639","213","-","-","-","-"
"Tery_1304","639331460","1988966","1989588","-","0.28","623","207.6666667","-","-","-","-"
"Tery_1305","638106493","1989720","1990229","-","0.34","510","170","hypothetical protein","113475043","4242055","-"
"Tery_1306","638106494","1990542","1992458","-","0.4","1917","639","chaperone protein DnaK","113475044","4242457","dnaK"
"Tery_1307","638106495","1994206","1996482","-","0.34","2277","759","copper-translocating P-type ATPase( EC:3.6.3.4 )","113475045","4242458","-"
"Tery_1308","638106496","1997564","1998322","+","0.34","759","253","ABC transporter related","113475046","4242459","-"
"Tery_1309","639331461","1999064","1999748","-","0.34","685","228.3333333","-","-","-","-"
"Tery_1310","638106497","2000615","2001211","+","0.34","597","199","signal peptidase I( EC:3.4.21.89 )","113475047","4242461","-"
"Tery_1311","638106498","2001473","2001790","-","0.31","318","106","hypothetical protein","113475048","4242462","-"
"Tery_1312","638106499","2002256","2003392","-","0.4","1137","379","peptidyl-prolyl cis-trans isomerase, cyclophilin type( EC:5.2.1.8 )","113475049","4242463","-"
"Tery_1313","638106500","2005048","2005605","+","0.39","558","186","translation elongation factor P","113475050","4242464","-"
"Tery_1314","638106501","2006188","2006691","+","0.39","504","168","acetyl-CoA carboxylase, biotin carboxyl carrier protein","113475051","4242465","-"
"Tery_1315","639331462","2006822","2007058","+","0.41","237","79","-","-","-","-"
"Tery_1316","638106502","2008631","2009329","-","0.38","699","233","conserved hypothetical protein","113475052","4242467","-"
"Tery_1317","639331463","2009783","2010282","+","0.28","500","166.6666667","-","-","-","-"
"Tery_1318","638106503","2011162","2012967","-","0.4","1806","602","prolyl-tRNA synthetase( EC:6.1.1.15 )","113475053","4242469","-"
"Tery_1319","638106504","2013421","2013852","+","0.37","432","144","NUDIX hydrolase","113475054","4242470","-"
"Tery_1320","639331464","2014134","2014707","+","0.4","574","191.3333333","-","-","-","-"
"Tery_1321","639331465","2014902","2015096","+","0.44","195","65","-","-","-","-"
"Tery_1322","638106505","2016583","2016810","-","0.45","228","76","hypothetical protein","113475055","4242473","-"
"Tery_1323","638106506","2017345","2018265","+","0.34","921","307","ornithine carbamoyltransferase( EC:2.1.3.3 )","113475056","4242474","-"
"Tery_1324","638106507","2019402","2021213","+","0.36","1812","604","Na+/solute symporter","113475057","4242475","-"
"Tery_1325","638106508","2022108","2023112","-","0.37","1005","335","putative TIM-barrel protein, nifR3 family( EC:1.- )","113475058","4242785","-"
"Tery_1326","639331466","2024251","2024475","-","0.42","225","75","-","-","-","-"
"Tery_1327","639331467","2024585","2025069","-","0.44","485","161.6666667","-","-","-","-"
"Tery_1328","638106509","2025743","2027152","-","0.39","1410","470","fumarate hydratase, class II( EC:4.2.1.2 )","113475059","4242788","fumC"
"Tery_1329","639331468","2027259","2027483","-","0.38","225","75","-","-","-","-"
"Tery_1330","638106510","2028123","2028449","+","0.36","327","109","transposase","113475060","4242790","-"
"Tery_1331","639331469","2028449","2028877","+","0.32","429","143","-","-","-","-"
"Tery_1333","638106512","2030402","2030767","+","0.3","366","122","putative transposase","113475062","4242793","-"
"Tery_1334","639331470","2030986","2031318","+","0.23","333","111","-","-","-","-"
"Tery_1336","638106514","2031910","2032515","-","0.34","606","202","conserved hypothetical protein","113475064","4242796","-"
"Tery_1337","638106515","2032658","2034337","-","0.41","1680","560","FHA domain containing protein","113475065","4242797","-"
"Tery_1338","638106516","2035337","2037400","+","0.3","2064","688","hypothetical protein","113475066","4242798","-"
"Tery_1339","639331471","2037757","2038220","+","0.31","464","154.6666667","-","-","-","-"
"Tery_1340","638106517","2040749","2041705","-","0.3","957","319","glycosyl transferase, family 2","113475067","4242800","-"
"Tery_1341","638106518","2042045","2043895","-","0.32","1851","617","hypothetical protein","113475068","4242801","-"
"Tery_1342","638106519","2047790","2047996","-","0.3","207","69","hypothetical protein","113475069","4242802","-"
"Tery_1343","638106520","2048695","2049441","-","0.38","747","249","Thioesterase( EC:3.1.2.14 )","113475070","4242803","-"
"Tery_1344","638106521","2049484","2050365","-","0.4","882","294","dTDP-4-dehydrorhamnose reductase( EC:1.1.1.133 )","113475071","4242804","-"
"Tery_1345","639331472","2051548","2051991","-","0.31","444","148","( EC:5.1.3.13 )","-","-","-"
"Tery_1346","638106522","2052114","2052659","-","0.34","546","182","dTDP-4-dehydrorhamnose 3,5-epimerase( EC:5.1.3.13 )","113475072","4241843","-"
"Tery_1347","639331473","2055535","2055735","-","0.26","201","67","-","-","-","-"
"Tery_1348","638106523","2056360","2057220","-","0.32","861","287","Methyltransferase type 11","113475073","4241845","-"
"Tery_1349","638106524","2057447","2059189","-","0.3","1743","581","hypothetical protein","113475074","4241846","-"
"Tery_1350","638106525","2060638","2061978","-","0.34","1341","447","Amidase( EC:3.5.1.4 )","113475075","4241847","-"
"Tery_1351","638106526","2062784","2064964","-","0.35","2181","727","Chromosome segregation ATPase-like protein","113475076","4241848","-"
"Tery_1352","638106527","2065274","2068273","-","0.39","3000","1000","cyclic nucleotide-regulated ABC bacteriocin/lantibiotic exporters","113475077","4241849","-"
"Tery_1353","638106528","2068829","2069584","-","0.38","756","252","PpiC-type peptidyl-prolyl cis-trans isomerase","113475078","4241850","-"
"Tery_1354","638106529","2071942","2072889","+","0.33","948","316","conserved hypothetical protein","113475079","4241851","-"
"Tery_1355","638106530","2073515","2075386","-","0.41","1872","624","Hemolysin-type calcium-binding region","113475080","4241852","-"
"Tery_1356","638106531","2076163","2077434","-","0.4","1272","424","glycosyl transferase, group 1","113475081","4241853","-"
"Tery_1357","638106532","2077704","2078402","-","0.31","699","233","Methyltransferase type 11","113475082","4241854","-"
"Tery_1358","638106533","2079608","2080351","-","0.29","744","248","sulfotransferase","113475083","4241855","-"
"Tery_1359","639331474","2080517","2080858","-","0.27","342","114","-","-","-","-"
"Tery_1360","638106534","2081009","2086984","-","0.34","5976","1992","glycosyl transferase, group 1","113475084","4241857","-"
"Tery_1361","638106535","2087004","2089568","-","0.3","2565","855","Methyltransferase type 11","113475085","4241858","-"
"Tery_1362","638106536","2089867","2091285","-","0.32","1419","473","ABC transporter related","113475086","4241859","-"
"Tery_1363","638106537","2091665","2092519","-","0.33","855","285","ABC-2 type transporter","113475087","4241860","-"
"Tery_1364","638106538","2092708","2093247","-","0.36","540","180","conserved hypothetical protein","113475088","4245464","-"
"Tery_1365","638106539","2093317","2094477","+","0.4","1161","387","Holliday junction DNA helicase RuvB","113475089","4245465","ruvB"
"Tery_1366","638106540","2095438","2097009","+","0.35","1572","524","amine oxidase( EC:1.4.3.4 )","113475090","4245466","-"
"Tery_1367","638106541","2097863","2098603","-","0.38","741","247","Cephalosporin hydroxylase","113475091","4245467","-"
"Tery_1368","638106542","2098603","2099235","-","0.37","633","211","Methyltransferase type 12","113475092","4245468","-"
"Tery_1369","638106543","2099242","2100564","-","0.4","1323","441","Orn/Lys/Arg decarboxylase, major region","113475093","4245469","-"
"Tery_1370","639331475","2100569","2101636","-","0.39","1068","356","-","-","-","-"
"Tery_1371","638106544","2102236","2104170","+","0.36","1935","645","peptidase S9, prolyl oligopeptidase active site region","113475094","4245471","-"
"Tery_1372","638106545","2104828","2106021","+","0.31","1194","398","glycosyl transferase, family 2","113475095","4245472","-"
"Tery_1373","639331476","2106348","2107076","-","0.27","729","243","-","-","-","-"
"Tery_1374","639331477","2110099","2110614","+","0.32","516","172","-","-","-","-"
"Tery_1375","638106546","2111352","2111582","+","0.35","231","77","hypothetical protein","113475096","4245475","-"
"Tery_1376","638106547","2111837","2112118","+","0.29","282","94","conserved hypothetical protein","113475097","4245476","-"
"Tery_1378","639331479","2112696","2112893","+","0.28","198","66","-","-","-","-"
"Tery_1380","638106549","2113589","2114314","+","0.39","726","242","Triosephosphate isomerase( EC:5.3.1.1 )","113475099","4245480","tpiA"
"Tery_1381","638106550","2115235","2116080","+","0.33","846","282","dihydropteroate synthase( EC:2.5.1.15 )","113475100","4245481","-"
"Tery_1382","638106551","2116190","2117215","+","0.34","1026","342","binding-protein-dependent transport systems inner membrane component","113475101","4245482","-"
"Tery_1383","638106552","2117278","2119272","-","0.4","1995","665","Amine oxidase (copper-containing)( EC:1.4.3.21 )","113475102","4245483","tynA"
"Tery_1384","638106553","2119924","2120148","+","0.29","225","75","oligopeptide transport system permease protein","113475103","4242864","-"
"Tery_1385","639331480","2120419","2120819","-","0.31","401","133.6666667","-","-","-","-"
"Tery_1387","639331481","2121459","2122045","+","0.39","587","195.6666667","-","-","-","-"
"Tery_1389","639331482","2122871","2123362","+","0.29","492","164","-","-","-","-"
"Tery_1390","638106556","2123603","2123848","-","0.28","246","82","Transposase  IS4","113475106","4242870","-"
"Tery_1391","639331483","2124159","2124613","-","0.31","455","151.6666667","-","-","-","-"
"Tery_1392","638106557","2124776","2125009","-","0.33","234","78","transposase","113475107","4242872","-"
"Tery_1393","638106558","2125397","2125900","+","0.34","504","168","putative transposase","113475108","4242873","-"
"Tery_1395","638106559","2127771","2128040","-","0.41","270","90","hypothetical protein","113475109","4242875","-"
"Tery_1396","639331485","2128984","2129340","-","0.3","357","119","-","-","-","-"
"Tery_1397","639331486","2129347","2129871","-","0.32","525","175","-","-","-","-"
"Tery_1398","638106560","2130195","2130680","+","0.38","486","162","hypothetical protein","113475110","4242878","-"
"Tery_1399","638106561","2131087","2131248","+","0.36","162","54","hypothetical protein","113475111","4242879","-"
"Tery_1400","639331487","2131355","2131546","+","0.35","192","64","-","-","-","-"
"Tery_1401","638106562","2132736","2132981","+","0.29","246","82","hypothetical protein","113475112","4242881","-"
"Tery_1402","638106563","2133018","2133284","+","0.3","267","89","hypothetical protein","113475113","4242882","-"
"Tery_1403","638106564","2133698","2135026","+","0.32","1329","443","TPR repeat","113475114","4243074","-"
"Tery_1404","638106565","2135723","2135899","+","0.28","177","59","hypothetical protein","113475115","4243075","-"
"Tery_1408","638106568","2138782","2139186","-","0.3","405","135","transposase IS4 family protein","113475118","4243079","-"
"Tery_1409","638106569","2139381","2139662","+","0.44","282","94","hypothetical protein","113475119","4243080","-"
"Tery_1410","639331489","2139848","2140279","+","0.39","432","144","-","-","-","-"
"Tery_1413","638106572","2141613","2142014","-","0.28","402","134","conserved hypothetical protein","113475122","4243084","-"
"Tery_1414","639331490","2142083","2142439","+","0.27","357","119","-","-","-","-"
"Tery_1415","638106573","2142671","2142850","+","0.26","180","60","hypothetical protein","113475123","4243086","-"
"Tery_1416","638106574","2143846","2144394","-","0.43","549","183","recombination protein RecR","113475124","4243087","recR"
"Tery_1417","638106575","2144836","2145510","-","0.39","675","225","N-acylglucosamine-6-phosphate 2-epimerase( EC:5.1.3.9 )","113475125","4243088","-"
"Tery_1418","638106576","2146092","2148653","-","0.31","2562","854","GAF sensor hybrid histidine kinase( EC:2.7.13.3 )","113475126","4243089","-"
